item1Teleport: .word 16, 16
.byte 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,103,103,103,103,0,0,0,0,0,0,
0,0,0,0,103,103,103,14,14,103,103,103,0,0,0,0,
0,0,0,103,103,14,14,103,103,103,103,103,103,0,0,0,
0,0,0,103,14,14,14,103,103,103,103,103,103,0,0,0,
0,0,103,103,14,14,103,103,103,103,103,103,103,103,0,0,
0,0,103,14,103,103,103,103,103,103,103,103,103,103,0,0,
0,0,103,14,103,103,103,103,103,103,103,103,103,103,0,0,
0,0,103,103,103,103,103,103,103,103,103,103,103,103,0,0,
0,0,103,103,103,103,103,103,103,103,103,103,103,103,0,0,
0,0,0,103,103,103,103,103,103,103,103,0,103,0,0,0,
0,0,0,103,103,103,103,103,103,0,0,103,103,0,0,0,
0,0,0,0,103,103,103,0,0,0,103,103,0,0,0,0,
0,0,0,0,0,0,103,103,103,103,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


