samusLife1: .word 35, 12
.byte 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,234,234,234,234,234,234,234,0,234,234,0,0,0,234,234,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,
0,234,234,209,209,209,209,209,0,234,234,234,0,0,234,234,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,0,0,0,0,
0,234,234,0,0,0,0,0,0,234,234,234,234,0,234,234,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,
0,234,234,234,234,234,234,0,0,234,234,234,234,234,234,234,0,0,0,103,103,0,0,103,103,0,0,0,0,255,255,0,0,0,0,
0,234,234,209,209,209,209,0,0,234,234,209,234,234,234,234,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,
0,234,234,0,0,0,0,0,0,234,234,0,209,234,234,234,0,0,0,14,14,0,0,14,14,0,0,0,0,255,255,0,0,0,0,
0,234,234,234,234,234,234,234,0,234,234,0,0,209,234,234,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,0,0,
0,209,209,209,209,209,209,209,0,209,209,0,0,0,209,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


