samusWalkRight1: .word 20, 32
.byte 0,0,0,0,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,
0,0,0,0,14,103,14,14,14,14,14,14,14,0,0,0,0,0,0,0,
0,0,0,14,103,14,14,14,32,14,14,32,103,0,0,0,0,0,0,0,
0,0,0,14,14,14,14,14,14,32,14,0,32,103,0,0,0,0,0,0,
0,0,0,14,14,14,14,14,32,14,14,0,32,32,0,0,0,0,0,0,
0,0,0,0,14,103,103,103,103,0,14,14,0,32,0,0,0,0,0,0,
0,0,0,0,103,103,103,103,32,103,0,14,14,14,0,0,0,0,0,0,
0,0,0,103,103,103,103,32,103,32,103,14,103,103,103,32,32,103,32,0,
0,0,0,103,103,103,32,103,103,103,103,103,103,103,103,32,32,32,32,32,
0,0,0,103,103,103,0,103,103,103,14,14,103,103,32,32,32,32,32,32,
0,0,0,103,103,103,103,32,14,103,103,14,14,0,32,32,32,103,32,0,
0,0,0,0,103,103,103,32,14,14,14,0,0,0,0,0,0,0,0,0,
0,0,0,0,103,103,103,103,14,14,103,14,14,14,0,0,0,0,0,0,
0,0,0,0,0,103,103,103,32,32,103,103,14,14,14,0,0,0,0,0,
0,0,0,0,0,103,103,103,103,0,0,14,14,0,14,0,0,0,0,0,
0,0,0,0,103,103,103,103,103,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,103,103,103,103,103,103,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,103,103,103,103,103,103,103,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,103,103,103,103,103,103,103,0,0,0,0,0,0,0,0,
0,0,0,0,0,103,103,103,0,103,103,103,0,0,0,0,0,0,0,0,
0,0,0,0,0,103,103,103,0,0,103,14,14,0,0,0,0,0,0,0,
0,0,0,0,0,103,103,103,0,0,103,103,14,0,0,0,0,0,0,0,
0,0,0,0,0,103,103,14,14,103,103,103,0,0,0,0,0,0,0,0,
0,0,0,0,103,103,14,14,14,103,103,0,0,0,0,0,0,0,0,0,
0,0,0,103,103,103,103,14,103,103,103,0,0,0,0,0,0,0,0,0,
0,14,103,103,103,103,0,0,103,103,14,0,0,0,0,0,0,0,0,0,
14,14,103,14,14,0,0,14,103,14,14,0,0,0,0,0,0,0,0,0,
14,14,14,14,0,0,0,14,14,14,32,14,0,0,0,0,0,0,0,0,
14,14,32,32,0,0,0,14,14,32,14,14,14,0,0,0,0,0,0,0,
0,32,14,14,14,0,0,0,14,32,14,14,14,14,0,0,0,0,0,0,
0,0,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


